2026-04-18 15:27:05 | INFO     | conftest | Browser launched: CHROME
2026-04-18 15:27:09 | INFO     | conftest | Navigated to base URL: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2026-04-18 15:27:09 | INFO     | pages.login_page | Entering username: 'Admin'
2026-04-18 15:27:10 | INFO     | pages.login_page | Entering password
2026-04-18 15:27:10 | INFO     | pages.login_page | Clicking Login button
2026-04-18 15:27:11 | INFO     | pages.home_page | Clicking menu: 'My Info'
2026-04-18 15:27:13 | INFO     | test_tc08_my_info_menu | TC08 | 'Report-to' is visible
2026-04-18 15:27:13 | INFO     | test_tc08_my_info_menu | TC08 | 'Report-to' is clickable
2026-04-18 15:27:13 | INFO     | conftest | Closing browser
