2026-04-18 15:27:26 | INFO     | conftest | Browser launched: CHROME
2026-04-18 15:27:29 | INFO     | conftest | Navigated to base URL: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2026-04-18 15:27:29 | INFO     | pages.login_page | Entering username: 'Admin'
2026-04-18 15:27:30 | INFO     | pages.login_page | Entering password
2026-04-18 15:27:30 | INFO     | pages.login_page | Clicking Login button
2026-04-18 15:27:31 | INFO     | pages.home_page | Clicking menu: 'My Info'
2026-04-18 15:27:34 | INFO     | test_tc08_my_info_menu | TC08 | 'Memberships' is visible
2026-04-18 15:27:34 | INFO     | test_tc08_my_info_menu | TC08 | 'Memberships' is clickable
2026-04-18 15:27:34 | INFO     | conftest | Closing browser
