2026-04-18 15:21:21 | INFO     | conftest | Browser launched: CHROME
2026-04-18 15:21:24 | INFO     | conftest | Navigated to base URL: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2026-04-18 15:21:24 | INFO     | test_tc01_data_driven_login | TC01 | username='Admin' | expected='pass'
2026-04-18 15:21:24 | INFO     | pages.login_page | Entering username: 'Admin'
2026-04-18 15:21:25 | INFO     | pages.login_page | Entering password
2026-04-18 15:21:25 | INFO     | pages.login_page | Clicking Login button
2026-04-18 15:21:27 | INFO     | test_tc01_data_driven_login | Login successful — dashboard is visible
2026-04-18 15:21:27 | INFO     | pages.home_page | Logging out
2026-04-18 15:21:28 | INFO     | test_tc01_data_driven_login | Logout successful
2026-04-18 15:21:28 | INFO     | conftest | Closing browser
