2026-04-18 15:24:47 | INFO     | conftest | Browser launched: CHROME
2026-04-18 15:24:49 | INFO     | conftest | Navigated to base URL: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2026-04-18 15:24:50 | INFO     | test_tc07_forgot_password | TC07 | On login page
2026-04-18 15:24:50 | INFO     | pages.login_page | Clicking 'Forgot your password?' link
2026-04-18 15:24:51 | INFO     | test_tc07_forgot_password | TC07 | Redirected to password reset page
2026-04-18 15:24:51 | INFO     | pages.login_page | Submitting password reset for username: 'Admin'
2026-04-18 15:24:51 | INFO     | test_tc07_forgot_password | TC07 | Reset form submitted
2026-04-18 15:25:52 | INFO     | test_tc07_forgot_password | TC07 | Password reset confirmed. Current URL: https://opensource-demo.orangehrmlive.com/web/index.php/auth/requestResetPassword
2026-04-18 15:25:52 | INFO     | conftest | Closing browser
