2026-04-18 15:26:05 | INFO     | conftest | Browser launched: CHROME
2026-04-18 15:26:08 | INFO     | conftest | Navigated to base URL: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2026-04-18 15:26:08 | INFO     | pages.login_page | Entering username: 'Admin'
2026-04-18 15:26:09 | INFO     | pages.login_page | Entering password
2026-04-18 15:26:09 | INFO     | pages.login_page | Clicking Login button
2026-04-18 15:26:10 | INFO     | pages.home_page | Clicking menu: 'My Info'
2026-04-18 15:26:12 | INFO     | test_tc08_my_info_menu | TC08 | 'Contact Details' is visible
2026-04-18 15:26:12 | INFO     | test_tc08_my_info_menu | TC08 | 'Contact Details' is clickable
2026-04-18 15:26:12 | INFO     | conftest | Closing browser
